station_id,in_degree,out_degree,pagerank,betweenness,short_name,name,capacity,region_id
6022.04,2,0,0.0013288339659226942,0.0,6022.04,E 16 St & 5 Ave,65,71
5644.05,1,0,0.0013276854430842367,0.0,5644.05,W Broadway & W Houston St,50,71
6955.05,1,0,0.0013274468193689745,0.0,6955.05,W 54 St & 11 Ave,59,71
5553.03,1,0,0.0013268338073291952,0.0,5553.03,E 3 St & 1 Ave,59,71
7149.05,1,0,0.0013265748965795281,0.0,7149.05,Amsterdam Ave & W 66 St,28,71
5838.09,1,0,0.0013265395043620858,0.0,5838.09,Washington Pl & 6 Ave,76,71
5216.07,1,0,0.0013264025843909872,0.0,5216.07,Vesey St & Greenwich St,73,71
6215.07,1,0,0.0013260751198815174,0.0,6215.07,W 27 St & 6 Ave,66,71
7235.13,1,0,0.0013255216225649925,0.0,7235.13,E 88 St & 1 Ave,39,71
4968.03,1,0,0.0013255216225649925,0.0,4968.03,Bridge St & Front St,47,71
6789.08,1,0,0.0013254644513680802,0.0,6789.08,Broadway & 31 St,35,71
4596.09,1,0,0.0013254644513680802,0.0,4596.09,Lawrence St & Willoughby St,39,71
5137.10,1,0,0.0013254644513680802,0.0,5137.10,Spruce St & Nassau St,34,71
5105.01,1,0,0.0013254644513680802,0.0,5105.01,Liberty St & Broadway,67,71
5024.10,1,0,0.0013254644513680802,0.0,5024.10,Water St & Fletcher St,79,71
4889.06,1,0,0.0013254644513680802,0.0,4889.06,Bus Slip & State St,69,71
6960.12,1,0,0.0013254644513680802,0.0,6960.12,3 Ave & E 71 St,47,71
6441.02,1,0,0.001325277598444029,0.0,6441.02,Broadway & W 37 St,57,71
6526.05,1,0,0.0013252522641905458,0.0,6526.05,8 Ave & W 38 St,65,71
6809.07,1,0,0.0013252522641905458,0.0,6809.07,W 56 St & 6 Ave,54,71
5391.06,1,0,0.0013252415517674158,0.0,5391.06,Lispenard St & Broadway,79,71
7154.10,1,0,0.0013252415517674158,0.0,7154.10,3 Ave & E 82 St,43,71
3940.04,1,0,0.0013252415517674158,0.0,3940.04,Sigourney St & Columbia St,21,71
5059.02,1,0,0.0013252415517674158,0.0,5059.02,McKibbin St & Bogart St,30,71
6948.10,1,0,0.0013252415517674158,0.0,6948.10,Broadway & W 58 St,79,71
6659.10,1,0,0.0013252415517674158,0.0,6659.10,E 50 St & Park Ave,37,71
5730.08,1,0,0.0013252277486860528,0.0,5730.08,Greenwich St & W Houston St,80,71
5679.05,1,0,0.0013252277486860528,0.0,5679.05,Mercer St & Bleecker St,67,71
5137.11,1,0,0.0013252277486860528,0.0,5137.11,Fulton St & William St,43,71
5905.14,1,0,0.001325211038722363,0.0,5905.14,University Pl & E 14 St,61,71
5065.14,1,0,0.001325211038722363,0.0,5065.14,Cliff St & Fulton St,65,71
5569.06,1,0,0.0013251468433897438,0.0,5569.06,W Broadway & Spring St,99,71
6224.05,1,0,0.0013251468433897438,0.0,6224.05,W 20 St & 8 Ave,84,71
5175.08,1,0,0.0013251468433897438,0.0,5175.08,Fulton St & Broadway,49,71
6248.08,1,0,0.0013251468433897438,0.0,6248.08,5 Ave & E 30 St,56,71
5545.01,1,0,0.001325058933811986,0.0,5545.01,E 7 St & Ave C,38,71
6072.11,1,0,0.001325058933811986,0.0,6072.11,8 Ave & W 16 St,36,71
6039.06,1,0,0.001325058933811986,0.0,6039.06,Washington St & Gansevoort St,51,71
5593.01,1,0,0.001325058933811986,0.0,5593.01,E 1 St & 1 Ave,75,71
6432.08,1,0,0.001325058933811986,0.0,6432.08,Park Ave & E 41 St,109,71
5712.12,1,0,0.001325058933811986,0.0,5712.12,E 5 St & Cooper Sq,50,71
7113.08,1,0,0.001325058933811986,0.0,7113.08,East End Ave & E 86 St,27,71
5721.14,1,0,0.001325058933811986,0.0,5721.14,LaGuardia Pl & W 3 St,51,71
5687.04,1,0,0.0013249882821012996,0.0,5687.04,MacDougal St & Prince St,47,71
6157.04,1,0,0.0013249882821012996,0.0,6157.04,10 Ave & W 14 St,81,71
4953.04,1,0,0.0013249882821012996,0.0,4953.04,South St & Gouverneur Ln,43,71
5492.05,1,0,0.0013249026126688909,0.0,5492.05,Cleveland Pl & Spring St,33,71
5610.09,1,0,0.0013248770586676668,0.0,5610.09,6 Ave & Broome St,72,71
6072.06,1,0,0.001324869272556745,0.0,6072.06,Greenwich Ave & 8 Ave,75,71
6115.06,1,0,0.001324858632296609,0.0,6115.06,Hudson St & W 13 St,42,71
6569.09,1,0,0.001324858632296609,0.0,6569.09,W 35 St & 9 Ave,32,71
5578.02,1,0,0.001324858632296609,0.0,5578.02,Watts St & Greenwich St,54,71
6364.10,1,0,0.001324858632296609,0.0,6364.10,6 Ave & W 34 St,66,71
5593.02,1,0,0.0013247584386035817,0.0,5593.02,E 2 St & 2 Ave,84,71
4903.08,1,0,0.0013247308560098527,0.0,4903.08,Old Fulton St,39,71
6173.08,1,0,0.0013246200991818254,0.0,6173.08,Broadway & W 25 St,109,71
7388.10,1,0,0.0013246200991818254,0.0,7388.10,Riverside Dr & W 82 St,75,71
5311.08,1,0,0.0013246200991818254,0.0,5311.08,Division St & Bowery,49,71
5065.10,1,0,0.0013245179294443929,0.0,5065.10,Maiden Ln & Pearl St,29,71
5539.06,1,0,0.0013245045441247591,0.0,5539.06,Laight St & Hudson St,87,71
6441.06,1,0,0.0013244823992515822,0.0,6441.06,W 37 St & Broadway,84,71
5114.06,1,0,0.0013244232567390412,0.0,5114.06,West Thames St,73,71
5520.09,1,0,0.0013243464456048329,0.0,5520.09,N 15 St & Wythe Ave,24,71
