name,short_name,station_id,lon,lat,region_id,capacity
Douglass St & 4 Ave,4175.14,66de602e-0aca-11e7-82f6-3863bb44ef7c,-73.98154004,40.6792788,71,51
Freeman St & Reverend James A Polite Ave,8080.01,adb67652-c20d-4dd2-8e89-d6015b801c1a,-73.894717,40.830529,71,19
69 St & 38 Ave,6298.04,266c8621-fdea-4a7e-9d35-18ca1684d526,-73.89650255441666,40.74694504524519,71,24
100 St & 37 Ave,6499.06,1835249197527877718,-73.86717,40.75243,71,20
Skillman Ave & Honeywell St,6334.03,034f7f3d-e632-475a-aa01-894480d153df,-73.92902433872223,40.747148249032804,71,19
Lexington Ave & Patchen Ave,4534.06,1857217349795049790,-73.9277,40.6904,71,18
Washington Pl & Broadway,5755.01,66db9675-0aca-11e7-82f6-3863bb44ef7c,-73.99404649,40.72903917,71,27
Patchen Ave & Bainbridge St,4261.03,c9e76fa9-54e2-4161-9798-4787bf04217a,-73.92565,40.68143,71,19
Maple St & Albany Ave,3608.06,f42b3158-3f78-4a62-964a-8cc554d69c35,-73.93974,40.66155,71,19
Parkside Ave & Parade Pl,3376.04,1817803079955479336,-73.96639,40.6532,71,22
30 Ave & 21 St,6996.01,914e3e7c-87da-4f52-aa03-5449c6361fa2,-73.9286078,40.7703743,71,15
Van Cleef St & 108 St,6096.01,1856767361963389606,-73.85357,40.74096,71,20
Corona Ave & 102 St,6222.04,1846086562569586930,-73.8619,40.74419,71,21
1 Ave & E 62 St,6753.08,66dd4356-0aca-11e7-82f6-3863bb44ef7c,-73.96094022,40.7612274,71,45
Courtlandt Ave & E 149 St,7840.05,9eb98b3b-ea35-483f-91f6-d90c506152db,-73.919549,40.816402,71,23
Snyder Ave & Schenectady Ave,3300.06,1845676917264180046,-73.93296,40.65,71,19
Metropolitan Ave & Meeker Ave,5300.05,66dcf922-0aca-11e7-82f6-3863bb44ef7c,-73.95234386,40.71413311,71,30
Stagg St & Union Ave,5117.05,66dcecfa-0aca-11e7-82f6-3863bb44ef7c,-73.95095259,40.70877084,71,33
W 186 St & St Nicholas Ave,8416.10,0df3a035-5a38-4ec2-826a-0a5376e8d8a0,-73.931308,40.852253,71,26
34 Ave & 48 St,6554.05,5a6218aa-c5b7-4436-93c1-dee7cb5322d9,-73.914952,40.75388,71,25
Dyckman St & Henshaw St,8636.04,89ff4db3-8a29-4565-a366-6fea4b3afc39,-73.92936,40.867357,71,19
Centre St & Seneca Ave,4837.03,a7c09fde-76e8-4a56-b61d-8ca940432efd,-73.9022,40.69969,71,23
48 St & Barnett Ave,6358.05,d7c12bf1-1ec8-496a-beca-90ba76c53241,-73.91540944576263,40.750016404259334,71,18
59 St & 4 Ave,3011.03,178bad16-1b02-4264-94c0-a8fd0faa60fe,-74.017651,40.641269,71,35
E 66 St & Madison Ave,6969.08,66de1a1f-0aca-11e7-82f6-3863bb44ef7c,-73.96845281124115,40.76800889305947,71,37
Church Ave & E 42 St,3309.04,1817432709747753390,-73.93818,40.65127,71,25
47 Ave & Skillman Ave,6237.01,c72970e7-7f1a-4671-bf55-fc34be7c9413,-73.94176483154297,40.7437524099784,71,19
E 81 St & Park Ave,7188.10,66dd4423-0aca-11e7-82f6-3863bb44ef7c,-73.9590097,40.77677702,71,46
Bay Ridge Pkwy & 5 Ave,2615.05,2123938400844950144,-74.02275,40.62967,71,16
Norfolk St & Broome St,5374.01,66db728c-0aca-11e7-82f6-3863bb44ef7c,-73.98802084,40.7172274,71,59
3 Ave & E 170 St,8137.06,8d8a381c-21df-4095-837e-65924d85a06d,-73.903743,40.834857,71,21
36 St & 4 Ave,3420.01,33af8810-cda5-4b61-9c38-0235f9d59aaa,-74.00422,40.654144,71,30
Winthrop St & Albany Ave,3535.03,1838999304404452058,-73.9398,40.6577,71,21
84 St & 3 Ave,2419.03,2126623405008140358,-74.03059,40.62503,71,12
Hull Ave & E Mosholu Pkwy N,8699.09,2171902607371571344,-73.88035,40.87115,71,18
35 St & Broadway,6750.16,8c2ed08f-1660-4db8-9168-4709427c23ed,-73.9222427,40.760339,71,18
South St & Whitehall St,4846.01,66db4417-0aca-11e7-82f6-3863bb44ef7c,-74.01234218,40.70122128,71,55
N 9 St & Wythe Ave,5489.06,1791188268875152272,-73.959,40.72054,71,49
W Mosholu Pkwy S & Sedgwick Ave,8841.03,ff1e98d3-ae7d-4c53-a531-1845bee1d346,-73.88702,40.88226,71,37
Warren St & Court St,4413.08,66dde703-0aca-11e7-82f6-3863bb44ef7c,-73.99383324,40.686371,71,31
E 158 St & Melrose Ave,7957.11,9d56294e-61fc-4176-bb9c-4692f45bb374,-73.914688,40.822215,71,23
47 St & 3 Ave,3243.02,1dba415a-2c46-419e-838d-7e068b8d7d6f,-74.012384,40.649143,71,23
Eastern Pkwy & Washington Ave,3928.08,e63c8dac-ab44-48c8-83a0-92c53a00f12e,-73.9631145,40.6716493,71,31
Crotona Ave & E 179 St,8330.05,1860188331547447938,-73.88991,40.84666,71,21
W 29 St & 9 Ave,6416.06,66dc7c31-0aca-11e7-82f6-3863bb44ef7c,-73.99839279,40.7500727,71,43
E 77 St & 1 Ave,7020.02,14391923-6727-4359-92e9-03e0b5094753,-73.95356208096926,40.77095553869235,71,52
